序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
1,999-81-5,-,矮壮素,-,IV,-,-,-,-,-,-,"急性毒性-经口,类别4急性毒性-经皮,类别4",-
2,7664-41-7,1005,氨,液氨;氨气,III*,"易燃气体,类别2",加压气体,-,"氨应力腐蚀开裂、渗氮(含量高,高温)",与强氧化剂、卤素、酸类等禁配物接触发生剧烈反应。禁配物:卤素、酰基氯、氯仿、强氧化剂。危险的分解产物:无资料,"易燃气体,内装加压气体,遇热可能爆炸,吸入会中毒,可引起皮肤腐蚀,强渗透性","急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别1",-
3,95-55-6,2512,2-氨基苯酚,邻氨基苯酚;邻羟基苯胺;2-氨基酚,IV/III,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、酰基氯、酸酐、酸类、氯仿。危险的分解产物:无资料,-,"急性毒性-经口,类别4急性毒性-吸入,类别4生殖细胞致突变性,类别2",-
4,591-27-5,2512,3-氨基苯酚,间氨基苯酚；间羟基苯胺；3-氨基酚；间氨基酚,IV/III,--,--,--,--,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、酰基氯、酸酐、酸类、氯仿。危险的分解产物：无资料,--,急性毒性-经口，类别4急性毒性-吸入，类别4危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
5,123-30-8,2512,4-氨基苯酚,对氨基苯酚；4-氨基酚,-/III,--,--,--,--,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、酰基氯、酸酐、酸类、氯仿。危险的分解产物：无资料,--,生殖细胞致突变性，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
6,107-10-8,1277,1-氨基丙烷,正丙胺；丙胺,III,易爆介质；易燃液体，类别2,--,--,碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酰基氯、酸酐、酸类。危险的分解产物：无资料,高度易燃液体，皮肤接触会中毒，吸入会中毒，可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别3急性毒性-吸入，类别3皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1,-
7,75-31-0,1221,2-氨基丙烷,异丙胺；1-甲基乙胺,-,易爆介质；易燃液体，类别1,-,-,碱腐蚀、碱脆,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酰基氯、酸酐、酸类、二氧化碳。危险的分解产物：氨,极易燃液体,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
8,75-39-8,1841,1-氨基乙醇,乙醛合氨,-/IV,-,-,-,胺应力腐蚀开裂,-,-,皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2,-
9,141-43-5,2491,2-氨基乙醇,乙醇胺；2-羟基乙胺；单乙醇胺,IV /III,-,-,-,胺应力腐蚀开裂,与乙酸、乙酸酐、丙烯酐、丙烯腈、氯磺酸、环氧氯丙烷、氯化氢、氟化氢、硝酸、硫酸、乙酸乙烯等剧烈反应。禁配物：酰基氯、酸酐、酸类、铝、铜、丙烯腈、氯磺酸、环氧氯丙烷、氯化氢、氟化氢、硝酸、硫酸、乙酸乙烯等。危险的分解产物：氮氧化物,可引起皮肤腐蚀,急性毒性-经口，类别4急性毒性-经皮，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1特异性靶器官毒性一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别2,-
10,102-28-3,-,氨基乙酰苯胺(间),-,-/IV,-,-,-,碱腐蚀、碱脆,-,-,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3",-
